arch_cd,arch_nm,describe,arch_type,parent,child_flg,max_level,arch_group,fault_type,useflg,created_at,updated_at,uncheck
BS7100,MS7120激光平台（套件）,,3,BS71,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS7101,MS7120激光平台,,3,BS71,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS71L1,MS7120激光平台数据线,,3,BS71,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS71P1,MS7120激光平台电源,,3,BS71,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS73,73,,2,BS,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS7300,MSA7320激光平台(套件),,3,BS73,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS7301,MSA7320激光平台,,3,BS73,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS73L1,MSA7320激光平台数据线,,3,BS73,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS73P1,MSA7320激光平台电源,,3,BS73,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS80,80,,2,BS,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS8000,AS8000红光枪（套件）,,3,BS80,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS81,81,,2,BS,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS8100,AS8120红光枪（套件）,,3,BS81,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS8101,AS8120红光枪,,3,BS81,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS81L1,AS8120红光枪数据线,,3,BS81,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS95,95,,2,BS,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS9500,MS9540激光枪（套件）,,3,BS95,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS9501,MS9540激光枪,,3,BS95,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS95L1,MS9540激光枪线,,3,BS95,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BS95T1,MS9540激光枪托,,3,BS95,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BSV8,V8,,2,BS,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BSV800,VS800激光平台(套件),,3,BSV8,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BSV801,VS800激光平台,,3,BSV8,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BSV8L1,VS800激光平台数据线,,3,BSV8,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
BSV8P1,VS800激光平台电源,,3,BSV8,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
C,硬盘故障,,1,%,1,1,3,HD,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
C1,坏道,有坏道|通过SCANDISK或FSCK、badblocks检查是否有坏道,2,C,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
C2,异响,硬盘在摇晃时有异响|有时认盘，有时不认，需要确认数据线时完好的,2,C,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB,银箱,第5位：“L”为线材类。,1,%,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB20,20,,2,CB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB2000,YX-2000银箱,,3,CB20,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB21,21,,2,CB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB2100,YX-2144银箱,,3,CB21,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB33,33,,2,CB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB3300,E3336A,,3,CB33,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB35,35,,2,CB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB3500,WX-350银箱,,3,CB35,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB41,41,,2,CB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB4100,410A/4144银箱,,3,CB41,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB50,50,,2,CB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB5000,EX2007(TFP5000银箱),,3,CB50,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB50L1,TFP5000钱箱数据线,,3,CB50,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB60,60,,2,CB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CB6000,PST6000银箱,,3,CB60,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CD,客显,第5位：“L”为线材类。,1,%,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CD50,50,,2,CD,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CD5000,TFP5000客显屏,,3,CD50,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CD70,70,,2,CD,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CD7000,LED8（TFP7000客显）,,3,CD70,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDA0,A0,,2,CD,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDA001,安卓10寸客显触摸屏,,3,CDA0,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDA002,安卓10寸客显非触摸屏,,3,CDA0,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDBS,BS,,2,CD,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDBS00,BS808客显(套件),,3,CDBS,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDBS01,BS808客显,,3,CDBS,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDBSL1,BS808客显数据线,,3,CDBS,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDZQ,ZQ,,2,CD,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDZQ00,ZQ-8DLII客显(套件),,3,CDZQ,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDZQ01,ZQ-8DLII客显,,3,CDZQ,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDZQ02,ZQ-8DLII客显端口转换模块,,3,CDZQ,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDZQL1,ZQ-8DLII客显数据线（2）,,3,CDZQ,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CDZQL2,ZQ-8DLII客显数据线（1）,,3,CDZQ,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR,综合故障,,1,%,1,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR0100,通信类,,2,CR,1,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR010001,通讯,连接服务器失败|软件提示,3,CR0100,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR010002,设置,用户名、密码设置，电话号码设置，通讯路径设置|检查设置,3,CR0100,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR010003,电话线有干扰,电话线路不正常，较难做通数据通讯|检查类,3,CR0100,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR010004,不是电信ISP,电话线路不是电信线路，如：网通、铁通等其他ISP|检查类,3,CR0100,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR010005,宽带故障,宽带线路故障（如ADSL）|检查类,3,CR0100,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR010006,电话线路转宽带,统一为“XC0006G6”|操作,3,CR0100,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR010007,宽带转电话线路,统一为“XC0006G6”|操作,3,CR0100,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR010008,电话线转3G、4G通讯,,3,CR0100,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR010009,3G、4G转宽带通讯,,3,CR0100,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR010010,宽带转3G、4G通讯,,3,CR0100,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR0200,环境类,,2,CR,1,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR020001,市电,市电插座没有带电|用万用表测量其好坏,3,CR0200,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR020002,电压,市电电压不稳定，或低/高于设备运行要求|用万用表测量其好坏,3,CR0200,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR020003,无接地,市电环境，没有接地线|用万用表测量其好坏,3,CR0200,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR020004,接地带电,接地上有电压（大于5V电压）|用万用表测量其好坏,3,CR0200,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR020005,温度,,3,CR0200,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR0300,操作类,,2,CR,1,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR030001,客户不会操作,,3,CR0300,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR030002,客户操作错误,,3,CR0300,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR0400,综合类,,2,CR,1,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR040001,死机,客户报死机现象，工程师到现场没有发现此类现象并无硬件损坏现象|,3,CR0400,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR040002,通讯死机,通讯时死机，重启设备后正常|,3,CR0400,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR040003,键盘/枪无反应,按键盘无反应或扫描无响应（有光），重启设备后正常|,3,CR0400,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR040004,自行解决,门店自行解决或工程师到现场没有发现故障现象|,3,CR0400,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR0500,无代码,,2,CR,1,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
CR050001,无代码,,3,CR0500,0,2,1,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,Y
F,显示器故障,,1,%,1,1,3,MT,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
F1,设置,显示器分辨率的设置|通过系统设置显示器分辨率,2,F,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
F2,老化,屏幕发暗，无法看清字体|直观,2,F,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
F3,抖动及闪烁,"屏幕有抖动或一闪一闪现象,或忽明忽暗|直观",2,F,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
G,打印机故障,,1,%,1,1,3,PT,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
G1,银箱口,打印机银箱端口坏|打印机打印功能正常，系统设置正常，银箱正常，但不能开启银箱,2,G,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
G2,并口,打印机并口坏|主板及数据线正常，打印机自检正常，但无法打印,2,G,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
G3,卡纸轴,安装纸张并用于走纸的轴|脱落或安装不正确等，造成无法走纸,2,G,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
G4,色带齿轮,打印机色带齿轮坏（无法正常的带动色带）|直观,2,G,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
G5,色带,打印机色带坏|色带是否能够转动、是否破损,2,G,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
G6,卡纸,清理打印机纸屑灰尘后能够正常打印|直观,2,G,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
G7,纸张,热敏纸张问题引起的打印字体不清楚，纸张宽度不对（热敏为57~58mm，针打为76mm）|直观,2,G,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
G8,切刀,不能切纸（打印机切纸设置正确）|直观,2,G,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
H,银箱故障,,1,%,1,1,3,CB,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
H1,夹子,更换夹子|直观,2,H,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
H2,弹簧,更换弹簧|直观,2,H,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
H3,水晶头,6pin水晶头氧化或脱落，需要重新夹制|直观,2,H,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HD,硬盘,第5位：“L”为线材类。,1,%,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HD00,00,,2,HD,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HD0001,10～20G硬盘IDE,,3,HD00,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HD0002,笔记本小硬盘（20G）,,3,HD00,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HD0040,硬盘(40G)IDE,,3,HD00,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HD0080,硬盘(80G)IDE,,3,HD00,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HD00L1,IDE硬盘数据线,,3,HD00,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HDSA,SA,,2,HD,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HDSA01,KSD-SA25.5-032MJ(32G SATA),,3,HDSA,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HDSA02,KSD-ACSC2MXXXS25(64G SATA),,3,HDSA,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HDSA16,硬盘(160G)SATA,,3,HDSA,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HDSA32,硬盘(320G)SATA,,3,HDSA,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HDSAL1,SATA硬盘数据线,,3,HDSA,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HDSD,SD,,2,HD,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HDSD16,安卓双屏存储16G,,3,HDSD,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
HDSD8G,安卓双屏存储8G,,3,HDSD,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
K,键盘故障,,1,%,1,1,3,KB,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
K1,定义,键盘定义（整个键盘定义或单个键值定义）后解决问题|通过定义文件能够定义键盘，并使其能够正常工作,2,K,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
K2,键帽及键体脱落,需要加装键体或键帽|直观,2,K,0,1,3,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB,键盘设备,第5位：“C”为控制卡类；“K”为锁类；“L”为线材类。,1,%,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB00,00,,2,KB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB0000,2/3轨刷卡器,,3,KB00,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB10,10,,2,KB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1000,PKB100键盘,,3,KB10,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1001,PKB100键盘,,3,KB10,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB10C1,PKB100键盘控制卡,,3,KB10,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB10L1,PKB100键盘软排线,,3,KB10,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB10L2,PKB100键盘数据线（PS/2）,,3,KB10,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB10L3,PKB100键盘开关指示灯连接线,,3,KB10,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1B,1B,,2,KB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1B00,K100B键盘,,3,KB1B,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1B01,K100B键盘,,3,KB1B,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1BL1,K100B键盘数据线,,3,KB1B,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1D,1D,,2,KB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1D00,K100D键盘,,3,KB1D,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1D01,K100D键盘,,3,KB1D,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1DL1,K100D键盘数据线,,3,KB1D,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1P,1P,,2,KB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1P00,KB101P键盘,,3,KB1P,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1P01,KB101P键盘,,3,KB1P,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1PK1,KB101P键盘钥匙,,3,KB1P,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB1PL1,KB101P键盘数据线,,3,KB1P,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB20,20,,2,KB,1,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
KB2000,KB63键盘,,3,KB20,0,2,2,,1,2026-05-08 04:35:23.835955,2026-05-08 04:35:23.835955,
